id	composite_no
P448535	Q006394
P448536	Q006395
P448537	Q002257
P448538	Q002258
P448539	Q002259
P448540	Q002260
P448541	Q002261
P448542	Q002262
P448543	Q006396
P448544	Q008467
P448546	Q006417
P448547	Q006418
P448549	Q002263
P448550	Q006419
P448551	Q008411
P448552	Q008412
P448553	Q008413
P448554	Q006420
P448555	Q006421
P448557	Q006422
P448558	Q006397
P448559	Q006398
P448560	Q006399
P448561	Q006400
P448562	Q006401
P448563	Q006405
P448564	Q006406
P448565	Q006402
P448566	Q006403
P448567	Q006404
P448568	Q006407
P448569	Q006408
P448570	Q006409
P448571	Q006410
P448572	Q006411
P448573	Q006413
P448574	Q006414
P448575	Q006415
P448576	Q006416
P448577	Q006431
P448578	Q006432
P448579	Q006423
P448580	Q006425
P448581	Q006426
P448582	Q006427
P448583	Q006424
P448584	Q006428
P448585	Q006429
P448586	Q006430
P448587	Q006433
P448588	Q006434
P448589	Q006435
P448590	Q006436
P448591	Q006345
P448593	Q006358
P448594	Q006346
P448595	Q006347
P448596	Q006348
P448597	Q006349
P448598	Q006350
P448599	Q006351
P448600	Q006352
P448601	Q006353
P448602	Q006354
P448603	Q006355
P448604	Q006356
P448605	Q006357
P448606	Q006359
P448607	Q006360
P448608	Q006362
P448609	Q006363
P448610	Q006364
P448611	Q006361
P448612	Q006379
P448613	Q006380
P448614	Q006381
P448615	Q006392
P448616	Q006437
P448617	Q006438
P448618	Q001996
P448729	Q000349
P450160	Q004865
P450161	Q004866
P452218	Q007333
P453286	Q004449
P454269	Q004159
P454327	Q008469
P454330	Q004364
P454472	Q008470
P454752	Q003651
P454813	Q001863
P454854	Q008474
P454922	Q004288
P454951	Q001708
P454952	Q001711
P454989	Q004320
P454999	Q001865
P455120	Q001733
P455174	Q003764
P455177	Q008475
P455188	Q008476
P455341	Q001737
P455498	Q004301
P455534	Q008477
P455837	Q008478
P455840	Q001712
P456047	Q008479
P456082	Q003650
P456184	Q005643
P456196	Q003765
P456393	Q004934
P456471	Q001438
P456489	Q001853
P456490	Q008906
P456491	Q008905
P456500	Q001928
P456609	Q004316
P456616	Q004317
P456638	Q001929
P456661	Q002018
P456672	Q002020
P456685	Q001798
P456696	Q001843
P456697	Q001842
P456735	Q001840
P456743	Q000874
P456756	Q001722
P456757	Q001721
P456758	Q001828
P456762	Q001827
P456767	Q004380
P456802	Q004330
P456879	Q004148
P456916	Q004332
P456975	Q004303
P456987	Q001723
P456988	Q001724
P457078	Q004335
P457126	Q005673
P457132	Q004783
P457172	Q008485
P457287	Q004345
P457395	Q004158
P457795	Q004909
P457815	Q004944
P458008	Q001931
P458023	Q001923
P458028	Q001727
P458053	Q001727
P458102	Q001930
P458144	Q004146
P458156	Q001730
P458158	Q001731
P458195	Q001752
P458247	Q004128
P458253	Q004126
P458279	Q008903
P458282	Q004956
P458284	Q004974
P458285	Q004985
P458288	Q005005
P458290	Q005009
P458291	Q005019
P458293	Q005013
P458294	Q001857
P458296	Q004960
P458299	Q001933
P458387	Q008402
P458388	Q008400
P458390	Q004389
P458393	Q004378
P458396	Q004395
P458399	Q004423
P458404	Q004943
P458405	Q004939
P458414	Q004902
P458417	Q004912
P458422	Q004328
P458423	Q004282
P458424	Q004286
P458425	Q001709
P458428	Q004324
P458433	Q004326
P458436	Q008492
P458443	Q001010
P458445	Q008494
P458472	Q001013
P458497	Q001747
P458498	Q001864
P458499	Q001862
P458502	Q001837
P458506	Q001705
P458507	Q001706
P458508	Q001719
P458514	Q001802
P458516	Q001735
P458519	Q001754
P458520	Q001744
P458521	Q001743
P458522	Q001742
P458523	Q001745
P458524	Q001741
P458529	Q001804
P458535	Q001700
P458536	Q008387
P458537	Q008386
P458538	Q000864
P458541	Q008410
P458547	Q001755
P458560	Q001746
P458586	Q001856
P458587	Q004133
P458590	Q004113
P458591	Q001807
P458592	Q004125
P458595	Q004131
P458596	Q004130
P458597	Q001803
P458598	Q004153
P458599	Q004157
P458601	Q004353
P458605	Q004145
P458606	Q008495
P458607	Q004123
P458611	Q004112
P458614	Q004117
P458615	Q004132
P458616	Q004138
P458617	Q001806
P458619	Q004141
P458623	Q004115
P458624	Q001800
P458626	Q004988
P458627	Q001861
P458628	Q004967
P458629	Q004973
P458630	Q005021
P458632	Q004993
P458635	Q005001
P458636	Q005023
P458637	Q005006
P458638	Q004999
P458640	Q004953
P458641	Q005028
P458642	Q004976
P458643	Q004954
P458644	Q004955
P458645	Q001866
P458648	Q001855
P458650	Q001867
P458652	Q004959
P458655	Q004963
P458656	Q004964
P458658	Q004968
P458659	Q004966
P458660	Q004970
P458661	Q004972
P458663	Q004984
P458664	Q005027
P458666	Q004987
P458667	Q004994
P458669	Q005025
P458672	Q005017
P458674	Q005012
P458675	Q005016
P458676	Q004989
P458677	Q004990
P458681	Q004983
P458682	Q005000
P458683	Q005022
P458684	Q005010
P458686	Q004975
P458688	Q004952
P458690	Q004962
P458691	Q004979
P458698	Q005024
P458701	Q001932
P458702	Q001429
P458704	Q005246
P458705	Q008376
P458706	Q005247
P458707	Q008401
P458708	Q004947
P458709	Q001834
P458710	Q001836
P458711	Q008497
P458713	Q004932
P458714	Q004367
P458715	Q004355
P458716	Q004416
P458718	Q004365
P458720	Q004357
P458721	Q004372
P458723	Q004948
P458725	Q001844
P458727	Q004384
P458728	Q004391
P458729	Q004387
P458730	Q004388
P458731	Q004393
P458732	Q004407
P458733	Q001839
P458734	Q004402
P458735	Q004406
P458736	Q004408
P458737	Q008498
P458738	Q004410
P458740	Q001831
P458741	Q004417
P458742	Q004421
P458744	Q008499
P458745	Q004951
P458746	Q004427
P458747	Q001835
P458748	Q004430
P458754	Q004906
P458756	Q004924
P458757	Q004940
P458762	Q004920
P458765	Q004921
P458767	Q004938
P458769	Q004914
P458772	Q004443
P458780	Q004442
P458782	Q004946
P458788	Q004362
P458790	Q004392
P458791	Q004390
P458794	Q004432
P458795	Q004433
P458798	Q004911
P458800	Q004917
P458804	Q008500
P458807	Q004908
P458809	Q004931
P458810	Q004366
P458811	Q004374
P458812	Q004396
P458813	Q004398
P458815	Q004399
P458818	Q004925
P458820	Q008501
P458822	Q004439
P458827	Q004903
P458829	Q004376
P458830	Q004420
P458835	Q004926
P458836	Q004278
P458838	Q004333
P458839	Q008502
P458841	Q004280
P458842	Q001748
P458843	Q004287
P458844	Q004292
P458845	Q004290
P458846	Q004291
P458848	Q004304
P458849	Q004299
P458850	Q004305
P458851	Q004307
P458852	Q004314
P458853	Q004311
P458858	Q004343
P458859	Q008503
P458860	Q001757
P458861	Q004338
P458862	Q004339
P458863	Q004351
P458864	Q004319
P458866	Q004279
P458867	Q001750
P458868	Q004347
P458870	Q001736
P458871	Q004285
P458872	Q004289
P458873	Q004293
P458874	Q004297
P458875	Q001749
P458876	Q004309
P458877	Q004306
P458878	Q004340
P458879	Q008504
P458880	Q004310
P458881	Q004323
P458882	Q004336
P458883	Q004337
P458884	Q001756
P458886	Q004283
P458888	Q004322
P458891	Q001926
P459149	Q005032
P459165	Q005031
P459178	Q004868
P459182	Q003229
P461094	Q005285
P461109	Q005314
P461110	Q004877
P461397	Q000001
P461912	Q005292
P461913	Q005293
P461914	Q005294
P461915	Q005295
P461916	Q005296
P461917	Q005297
P461918	Q005298
P461919	Q005299
P461920	Q005300
P461921	Q005301
P461922	Q005302
P461923	Q005303
P461924	Q005304
P461925	Q005305
P461926	Q008371
P461927	Q001397
P461928	Q001398
P461929	Q005186
P461930	Q005187
P461931	Q001399
P461932	Q001400
P461933	Q001401
P461935	Q001402
P461936	Q008417
P461937	Q001403
P461938	Q001405
P461939	Q001406
P461940	Q005188
P461941	Q001407
P461942	Q000835
P461943	Q005189
P461944	Q001408
P461945	Q005190
P461946	Q001411
P461947	Q001413
P461948	Q001414
P461949	Q001415
P461950	Q001416
P461951	Q001417
P461952	Q001418
P461953	Q000836
P461954	Q001419
P461955	Q001420
P461956	Q005191
P461957	Q000837
P461958	Q005192
P461959	Q000838
P461960	Q000839
P461961	Q000840
P461962	Q005193
P461963	Q000841
P461964	Q008372
P461965	Q005194
P461966	Q000843
P461967	Q001421
P461968	Q000844
P461969	Q005195
P461970	Q005196
P461971	Q005197
P461972	Q005198
